Date,Category,Amount,Description
2025-09-21,Shopping,1117.99,Clothing
2025-09-21,Entertainment,1938.14,Movie tickets
2025-09-22,Transport,278.46,Uber ride
2025-09-22,Shopping,7000.21,Electronics
2025-09-26,Healthcare,1636.98,Dental checkup
2025-09-27,Bills,1664.51,Electricity bill
2025-09-30,Education,2837.83,Study material
2025-09-30,Travel,8947.8,Hotel booking
2025-10-01,Transport,387.32,Uber ride
2025-10-04,Utilities,1954.54,Parking fee
2025-10-04,Education,839.2,Study material
2025-10-05,Education,3415.08,Certification
2025-10-08,Transport,490.06,Bus ticket
2025-10-10,Groceries,2064.83,Household items
2025-10-10,Groceries,1635.48,Dairy products
2025-10-11,Food,1482.3,Restaurant dinner
2025-10-11,Education,1990.37,Course fee
2025-10-12,Education,1991.32,Online course
2025-10-13,Education,6426.32,Online course
2025-10-13,Shopping,3905.42,Electronics
2025-10-13,Groceries,2198.83,Dairy products
2025-10-14,Education,2981.74,Study material
2025-10-16,Healthcare,2269.94,Gym membership
2025-10-17,Education,4709.33,Online course
2025-10-18,Bills,4872.7,DTH recharge
2025-10-19,Bills,3747.78,Electricity bill
2025-10-22,Healthcare,1711.38,Lab tests
2025-10-25,Utilities,1542.27,Maintenance charge
2025-10-26,Bills,1914.6,Electricity bill
2025-10-27,Entertainment,648.73,Sports event
2025-10-28,Entertainment,338.56,Sports event
2025-10-28,Bills,4683.64,Phone bill
2025-10-29,Groceries,2217.21,Household items
2025-10-31,Entertainment,783.82,Gaming subscription
2025-11-01,Healthcare,1262.0,Dental checkup
2025-11-02,Food,457.71,Restaurant dinner
2025-11-02,Groceries,1075.65,Dairy products
2025-11-02,Bills,2378.35,Internet bill
2025-11-05,Shopping,1638.72,Clothing
2025-11-07,Education,2924.02,Online course
2025-11-09,Education,3528.77,Course fee
2025-11-09,Food,1449.3,Lunch at cafe
2025-11-10,Shopping,9978.53,Clothing
2025-11-10,Healthcare,2223.13,Medicines
2025-11-11,Food,828.62,Lunch at cafe
2025-11-13,Food,1068.95,Food delivery
2025-11-15,Shopping,4753.94,Shoes
2025-11-16,Travel,2131.95,Tourist spot
2025-11-16,Education,2316.2,Online course
2025-11-17,Travel,9852.28,Travel package
2025-11-18,Travel,12430.05,Train ticket
2025-11-18,Food,583.05,Restaurant dinner
2025-11-19,Bills,32423.0,electricity billl
2025-11-19,Travel,13017.02,Travel package
2025-11-19,Entertainment,1480.07,Gaming subscription
2025-11-19,c345,345.97,train tick
2025-11-19,Travel,34500.0,ujjain trip
